"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132"
"45" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000257722204052505 -0.00010858765237545 0.000110472040278026 0.000171363963475165 0.000143058062462755 0.000401169385170105 0.00130577248721308 0.00296963609757429 0.00481478083051546 0.00545824660737894 0.00423149578593815 0.00228561528950824 0.000972081401947712 0.000345839580166477 -2.33896784397643e-06 -8.19814312187659e-05 3.24945611902977e-05 4.87194983537457e-05 1.47712747480929e-05 0.000133018081754801 0.00021982126619064 9.98377117449196e-05 -3.74494515245852e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000320318982190142 -0.000168250151147778 0.000117607033961435 0.000202496205182298 0.00013999904321096 0.000573411366930107 0.00265305859083264 0.00698115581499944 0.0117865569725373 0.0134468608059943 0.0105934755360523 0.00589040213820455 0.00241320816765837 0.000865130310073199 0.000445532798804713 0.000352232009089558 0.000316969161677342 0.000303096932409876 0.00022572016176292 0.000116940521123605 9.57614968178213e-05 0.00012345586308177 8.19140158347024e-05 -2.30529222396486e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000203529539402744 -0.000114481592490709 0.00011209937683294 0.000214135681517423 0.000164025757808152 0.00076850961035721 0.00370220388276606 0.00987980835837517 0.0168850717951065 0.0195821959334047 0.0157969026193145 0.00913049574419768 0.00410911324965383 0.00196908106563847 0.00151942561514479 0.00140676032662474 0.00123674539562352 0.0010496510790338 0.000666397884361969 0.000164865275129681 -2.51221285606259e-05 9.37265647944004e-05 0.000164286793367964 0.000145010932615728 0.000146863716902362 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.32684255213383e-06 -3.45775316145899e-06 0.000140087417990672 0.000234203718762455 0.000246826034041682 0.000873459009499952 0.0033824233885103 0.00861634311945438 0.014966802823871 0.0180464547293047 0.0153380311934748 0.00965435684775333 0.00523283434199861 0.00336210440841837 0.00302362117753682 0.00301180615666164 0.00280060639983011 0.00231325643337227 0.0015249249392537 0.000648029088141865 0.000126202079327964 2.53072354533735e-05 5.55059041916514e-05 0.000112400016880232 0.000193647781630058 0.000171960669719576 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000150476647258192 0.000120269398032699 0.000124683067718644 8.29598502432516e-05 0.000136164270320126 0.000602281138984417 0.00194085241325146 0.00485152323534256 0.00897101183113164 0.0117178824002972 0.010980453941787 0.00810407061369906 0.00572912950856933 0.00468722139641888 0.00449370723446782 0.00455573435036271 0.00435728790944616 0.00371413581294499 0.00276263187231689 0.00168363640787655 0.000762524680114835 0.000253286538829122 8.89230465368669e-05 6.6203358592359e-05 0.000103563207237833 0.000133062893680114 0.000101575924906251 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000196125724714314 0.000206221864914341 3.69300186200763e-05 -8.84445958399995e-05 1.01034631278106e-05 0.000219349755908814 0.000659924948650221 0.00195781393383326 0.00421078588222393 0.00618118154809207 0.00668929230159041 0.00620686620885298 0.0058243289223309 0.00575415994491744 0.00576949946212451 0.00573772399983774 0.00543870161784806 0.00478347064132295 0.00388543019124072 0.00277594593507046 0.0016254755190622 0.000816227270512336 0.000431151795663859 0.000222689980971648 9.70643298635754e-05 9.2695016376974e-05 0.000132448475243123 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.09584187357175e-05 -0.000110597358129211 -6.01215848341993e-05 0.000114316000357106 0.000127292303971715 0.000237116705115635 0.000874979323032642 0.00200742891156926 0.00321712080376864 0.00417115877837872 0.00493153815420164 0.00572590859638643 0.00647855401425587 0.00686908404429747 0.00674677760096478 0.00620225466805205 0.00539752296734296 0.00444803433643874 0.00335602391849619 0.00221215383965606 0.00130085778301021 0.00074909460043819 0.000376119316544584 9.61298900174921e-05 4.33658488091582e-05 0.000180403379410144 0.000241582282573466 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000259523782885851 -0.000250757548556228 1.32532974879902e-05 0.000184519368255419 0.000151776551344517 0.000246910048732131 0.000634399189323705 0.00122434755834498 0.00204391657356172 0.00311336901173543 0.0042930348253103 0.00552333992003852 0.00670838582729458 0.00743759973826445 0.00741320784040382 0.00678195332640332 0.00580040979451669 0.0046811467826697 0.00356311440907924 0.00247976257070976 0.00153129149817017 0.000856619062633218 0.000392900161242259 5.03170887135104e-05 -3.90875707795498e-05 0.000131991208428496 0.000236259476688774 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000188246406806565 2.5876490571768e-05 9.70122530276832e-05 0.000106978604190859 0.000177391882725642 0.000390910254487745 0.000814942569567197 0.00151792150715374 0.00251959758005726 0.00375198582511532 0.00512061626958094 0.00642642606047298 0.00727734272614058 0.00744779168670168 0.00702821147866375 0.00613740034225385 0.00499004223035245 0.00385489461584479 0.00276814556394438 0.00173940098169412 0.000942701613779966 0.000440967306378455 0.000109978293130893 -7.27306340487575e-05 -3.51896146424636e-05 0.000119190190759329 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -2.64511251753325e-06 2.69593170983611e-05 9.80776175890967e-05 0.000121681358453567 0.00026030552426748 0.000675272684961421 0.00127424249599171 0.00202725240879918 0.00307441027633395 0.00440600563963505 0.00572440733749272 0.00663374224993001 0.0069685008271237 0.00679376526343503 0.00614692301382394 0.00518381272622539 0.0041869091699964 0.00317699245594634 0.00210397812735146 0.00118715793463106 0.000636637295159109 0.000321596358644824 5.19706207579354e-05 -4.98877540833428e-05 0.000118063548751464 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -9.5057917055039e-05 -3.0187983415581e-05 6.90883173168901e-05 0.000147077130897631 0.000336961543310409 0.000699779693640657 0.00111386580868656 0.00158510200146889 0.00232396565650641 0.0034195070986786 0.00465385289555775 0.00562566453903701 0.0060650315299086 0.00598555519014535 0.00548710338916158 0.00475222588322336 0.00402691225973444 0.00326948751755779 0.00233515805895786 0.00141170464627171 0.000797832402178716 0.000481254587733635 0.000275483326721361 0.000179567160047392 0.00021522923375117 0.000167490515075255 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -2.56680076576466e-05 2.36219430446549e-05 0.000161274085905297 0.000363181191719885 0.000577994045621182 0.00083120688383933 0.00119411758735706 0.00176970029698026 0.00262484075299441 0.0036463582489113 0.00451130680230243 0.00492073479272102 0.00483774987105592 0.00438772541735508 0.00376343718752845 0.00317595723512562 0.00261938343536702 0.00195273382234364 0.00122178012225185 0.000649415549665512 0.000412841207560121 0.0004284115677754 0.000389749545873345 0.000168017716905366 -2.90217946544067e-05 -3.3803908554859e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000102843248393626 7.98292889309535e-05 0.000153197115213691 0.00026477979176245 0.000369012596344124 0.00055072630994552 0.000890243479283997 0.00142607572444489 0.00215249157542598 0.00294138403785505 0.00357058445817654 0.00386520393748845 0.00377629632865404 0.00334994344909874 0.0027181402267724 0.00209317044312119 0.00160432912195114 0.00118998701605843 0.000738065308995304 0.000346132007664339 0.000290976666991749 0.000507529632319675 0.000498140772363504 0.000168479150285872 1.26548717601114e-05 0.000127423064198461 0.000105645819333136 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000136546860914708 0.000104533893451794 7.81265441310935e-05 0.000137840136525922 0.000259888283247279 0.000393727928530126 0.000608170483342482 0.00104261070314775 0.00168200001083316 0.00232374227199713 0.00281432170267437 0.00310168790151283 0.00306766167491923 0.002623862892059 0.00194605185014145 0.00137680525046522 0.00107421771439837 0.000875646496744356 0.000591619311577142 0.000339823691446739 0.000361337776671832 0.000560833246142259 0.000585617595549191 0.000399902101496785 0.000280545984807281 0.000231872121798897 8.47740281433157e-05 1.82894428446654e-05 0.000190334372845927 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.03485817945558e-05 2.75528597795458e-06 6.38209767050628e-05 0.000188938811606156 0.000245772982811757 0.000321096596391112 0.00063642318279935 0.00118588184318301 0.00173985713448805 0.00219247777476146 0.00253709879057112 0.00255564973364006 0.00208556046188034 0.00147467088965351 0.00121309756764593 0.00126919440074059 0.00121754954813596 0.000925330754251173 0.000652424760823662 0.000548555247245627 0.000557993047943063 0.000608443329876635 0.000550236543950499 0.000286983615481525 3.1681583889214e-05 4.85290753982666e-06 9.87695363094914e-05 0.000152165788899788 0.000163941711732891 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.01645783597976e-05 5.79807873120326e-05 4.8774570165513e-05 4.20111720313436e-05 9.74910405795556e-05 0.000314271725824162 0.000695240496966517 0.00112509579762652 0.00154102676141954 0.00188353407220563 0.00189912543495162 0.00149710956143322 0.0011323959418494 0.00122467365851827 0.00150343654995231 0.00147770599591397 0.00118236779941836 0.000929389326152387 0.000765533303094593 0.000676739351482212 0.000698765457921476 0.000591717684706501 0.000202089316697458 -4.9372381460768e-05 0.000112140574569257 0.000258435735919663 0.000139300159401683 9.29838499708477e-05 0.00016907115777557 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.39176364389543e-05 -6.98749433572894e-05 -4.21498924875862e-05 8.26129180979329e-05 0.000164971968440518 0.000245884336458192 0.000455545359602866 0.000792366592108907 0.00107623831472762 0.00108807811622828 0.000878944350149286 0.000799612727876918 0.00100566038483137 0.00122539822283218 0.00123958608788753 0.00118103481866581 0.00120031173362774 0.0012349797353792 0.00121696512947387 0.00113412328528478 0.000909847498106318 0.000570080334047349 0.000382598502531553 0.000467921830069271 0.000520994322398237 0.000338436487055561 0.000172581876663199 0.000180646162996735 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -5.27223639728391e-06 0.000116267730401561 0.00029352911521128 0.000236741944374546 2.05590533047053e-05 -8.88115712181308e-06 0.000206724235014142 0.000398783360416995 0.000439017907285835 0.000457814120715135 0.000546512575962441 0.000664877235227899 0.000819449745186015 0.00108802636958021 0.0014609190913423 0.00183048338500601 0.00207786468631275 0.00208373508630538 0.00182679268437194 0.00147382234385613 0.00115172654773054 0.000837677994850652 0.0006141045346308 0.000556773627400181 0.000458997177626179 0.000197174873199429 2.16495069431162e-05 4.86980152800161e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.00025310105377625 0.000391824900595386 0.000273740256279119 -1.87677534728271e-05 -0.000130771473686951 -1.71695971920498e-05 8.49560555452418e-05 0.00016566068898012 0.000319765726578127 0.000424650787679827 0.000459435921807751 0.000709990967645104 0.0013067683115416 0.00201425989901568 0.00257950952177337 0.00287865159358812 0.00280869554166681 0.00240853173386222 0.00193087370284037 0.00149850810404381 0.000994171929925654 0.000524279528823865 0.00037706719525248 0.000384758729329107 0.00015942019396795 -0.000124328399077592 -9.15733418014938e-05 1.41519316147675e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000155976010251031 6.2289136393977e-05 -5.59656910721466e-05 -6.63884228386989e-05 -1.2287634335075e-05 2.36832317908694e-05 0.000105626692467973 0.000243022853653869 0.000302437920233729 0.000351662821243687 0.000671236929747841 0.00131040706894031 0.00204680171032569 0.00268768462091325 0.0030865931447393 0.00310073880981234 0.00274807755787434 0.00223881196331776 0.00174249108932648 0.00123216318256201 0.000729643896310355 0.000438502403622672 0.000357310478426726 0.000215430437903817 8.6609557043035e-06 -8.50409129260187e-06 4.46456306102413e-05 -0.000141361610015581 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000146067549110218 -6.56746157830147e-05 2.92304084731673e-05 2.86568486479514e-05 1.14422353805233e-06 7.51248646622229e-06 4.29765255810455e-05 0.000111964255745967 0.000237762502886556 0.000460197301373848 0.000837169423033176 0.0013948235971725 0.00206412699484906 0.00266249213899641 0.00298217507461622 0.0029098665587923 0.0025193221024538 0.00205699167118503 0.00166909851830991 0.00125219162925556 0.000737896173218768 0.000322188022615302 0.000199587800130411 0.000233652330698469 0.000172594815051781 1.04038046996167e-05 -0.000126988900287169 -0.000179298070712099 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"66" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.41581428984343e-05 -4.37223808503061e-05 -0.00012834078480083 -0.000148246673228721 -1.6133347490172e-06 0.000176223309621207 0.000236037259293013 0.000351433551597431 0.000733809973801253 0.00131599845514616 0.00193844151358088 0.0024922541134317 0.00279826092827435 0.00275378407097961 0.00258560669896274 0.00248913603723119 0.00218610143710741 0.0013832798047616 0.00049001416434359 0.00016752531646669 0.000268731166578244 0.000165225808143302 -8.59813328182475e-05 -5.70783706302535e-05 7.46265388420931e-05 2.31323012617762e-06 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.000152190800166438 2.42658379859902e-05 0.000156183009299605 0.000115203338492765 0.000132932170096586 0.000379540180473522 0.000734931422207297 0.0011566574213992 0.00172894991423775 0.00236611969812347 0.00301008511478219 0.00381996071237759 0.00459835164791012 0.00460352477602272 0.00349004044558044 0.00192362887024446 0.000807365668133208 0.000320513262583614 8.42115759989126e-05 -4.31413780707191e-05 4.32799551670533e-05 0.000157419984802704 7.29890745264947e-05 -1.60743749703866e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"68" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.99948813364995e-05 6.01249673239375e-05 -8.23890973786952e-07 2.46565484073108e-06 8.77874047426464e-05 0.000208397320991352 0.000462434371606009 0.000983435297595884 0.00185596380104121 0.00336574397779394 0.00569480076526842 0.0080404106806499 0.00894259026782747 0.00779914414819148 0.00531988320805727 0.0026803892842811 0.000917976979285778 0.000313286129186417 0.00020415863161995 3.80697059225305e-05 -5.59716302271171e-05 2.02962807073185e-05 7.88598090815331e-05 7.91622214806371e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -4.21390054680385e-05 -5.04081921227717e-05 -6.55057695157921e-05 -0.000143895510178784 -0.000155007268306466 4.07492848217069e-05 0.000494523132202004 0.00145242922770778 0.00348772363669621 0.006895733606901 0.0108236174836653 0.0134622268847328 0.0134558683748951 0.0107507084900796 0.00654712680877074 0.00293835906776945 0.00117737302247386 0.000546830825983116 7.43363603735583e-05 -0.000123418838497005 7.14918194712209e-05 0.000187198334130316 0.000107355847017934 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"70" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 6.86971033544504e-05 4.7573076036788e-05 -9.90288836429674e-05 -0.000158768338751966 -5.45885294393996e-05 0.000245275162851198 0.00104864658909565 0.00288393649528115 0.00623699546771803 0.0110489650162202 0.0161538862271869 0.019514676177314 0.0189896932891675 0.0141193344042623 0.00764663495295883 0.00301591998959341 0.000980136857485623 0.000333729250152197 0.000187080395740006 0.000242198588986422 0.000224581767982788 0.000119433235262642 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"71" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000171502548840563 8.7885694085299e-05 2.36683146879155e-05 -3.52616178391823e-06 9.55812200278938e-05 0.000525753593449476 0.00162473882094143 0.00410417330911778 0.00885653557084426 0.0160339017391153 0.0237568064767979 0.027381153849674 0.0231599732645241 0.0136828089661682 0.00541045982236287 0.00151981052225462 0.000603680058299794 0.000409733170352964 0.000187380921170138 5.88182047625485e-05 5.52418470242391e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"72" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000128538780428226 0.000156639764111214 0.000127283655384703 5.41261714856962e-05 3.797537763848e-05 0.000117137717198183 0.000504899178201196 0.00190548038911564 0.00548723425760163 0.0123279560720237 0.0213591575259287 0.0272754455250328 0.0246286538273795 0.0152199668505616 0.00622843394295068 0.00174910832742137 0.000583923528085413 0.000275363359731306 -1.01585499303026e-05 -5.01782298661983e-05 8.38194987519322e-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"73" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000129189740709654 0.000120201654500129 7.21303722701446e-05 8.28657660145183e-05 9.70426404389274e-05 0.00015984503179617 0.000654971492954298 0.00244589881325076 0.00659954292649156 0.0126388175900416 0.0169452189857315 0.0157471203599476 0.0100652634642264 0.00438339336886127 0.00130398074945444 0.000315388358142477 8.64124402276933e-05 3.8228914952981e-05 0.000184260120380069 0.000348825965139754 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
